"V1","V2","V3","V4","V5"
0,0,0.00931270864604202,0.044869653720483,0.23655072193645
0,0,0.00978763332096039,0.0573356938402125,0.260422084982498
0,0,0.0128332403099572,0.0791196079692504,0.264002209284141
0,0,0.0142693717495157,0.0867418698486754,0.297601974631259
0,0,0.0156725766259572,0.0912307528457478,0.307986398296076
0,0,0.0153047971521045,0.097807294065617,0.329306141636116
0,0,0.0143548141452661,0.0969150924019009,0.31943872006382
0,0,0.0179761355266757,0.109896880957238,0.319652320738412
0,0,0.0155543785852797,0.0950620435679937,0.314612872550362
0,0,0.0159164956831602,0.0899592640414517,0.297811964031835
0,0,0.0155359023190269,0.0885710851294516,0.294014489181877
0,0,0.0154312795853484,0.0935404003117759,0.308538222292566
0,0,0.0136062878693877,0.0842298861691123,0.30307167146657
0,0,0.015153994125289,0.087904804304592,0.311846972601503
0,0,0.0152548765948108,0.0890983685068147,0.309074250822736
0,0,0.0139117286223746,0.0877872690088522,0.305074598467986
0,0,0.014081813584013,0.0844777024817861,0.296365287597693
0,0,0.0143905182775605,0.0782332535818729,0.274486378784688
0,0,0.0222895108330437,0.0905419813503418,0.258217616128877
0,0,0.0226100415537266,0.0969837547092977,0.274519781741599
0,0,0.0207993946554391,0.0894033898119123,0.256600737752277
0,0,0.0187013049291267,0.0808364452580923,0.24755941780336
0,0,0.0202807956415257,0.0774699971474692,0.231880033227803
0,0,0.0177068490027828,0.070988967832248,0.234178980721773
0,0,0.0160997822837857,0.0704626928471004,0.223611416652565
0,0,0.0192979623801001,0.0779533807767755,0.234375094084401
0,0,0.0202257695205111,0.0777934242232187,0.228760348394668
0,0,0.0209971895139907,0.0784668169555212,0.222748066444477
0,0,0.0199214205091198,0.0823938983095607,0.233816858381275
0,0,0.0191793422994538,0.0800390139767899,0.238655965619314
0,0,0.0208080400873808,0.0832577555756199,0.240394355932887
0,0,0.0220090111983213,0.089213855761989,0.241186685438435
0,0,0.0254220532850559,0.0981321839170912,0.254225974350139
0,0,0.0230587962492105,0.0981399952647935,0.258504813157836
0,0,0.0276001199392151,0.11193159895507,0.282497966810929
0,0,0.0331853473961716,0.116003716189501,0.265521518395708
0,0,0.0369624559780221,0.121681378569897,0.273211954525673
0,0,0.0367829418334855,0.122559765859096,0.255830645318713
0,0,0.0317506909341603,0.108046870696655,0.244040509972129
0,0,0.0406561863548045,0.122432065119338,0.253607483282738
0,0,0.0413245579281308,0.122109911958996,0.250105147997145
0,0,0.0388772896672372,0.116665782906527,0.239167026844265
0,0,0.0418054027197966,0.109897405450019,0.211180856149671
0,0,0.0481235707095903,0.118559370263799,0.231980319681294
0,0,0.0451316418207661,0.110886576903323,0.220585038824586
0,0,0.0477505886047341,0.117095979612319,0.234866092265017
0.00224126617447743,0,0.0472715655512416,0.120480903774836,0.236990052334977
0.00173472946860411,0,0.0567961403947624,0.143736751100076,0.272082248387169
0.00336553371239799,0,0.0623309356906889,0.145524845430578,0.271071389928854
0.00315889857935821,0.00164550713582907,0.0627529590754066,0.144331640629164,0.264642616549237
0.00187862969010917,0.0065114453857485,0.0659224995019977,0.146128914366433,0.261583474615837
0.00247484940634986,0.00819023020668592,0.0731599760213925,0.15892644064288,0.27703310042846
0.00343954769874957,0.0105315438302193,0.0817123973118296,0.159800563029052,0.2744811821241
